  101  101
    9   69  9.529412e-001
    9   70  9.450980e-001
    9   71  9.450980e-001
    9   72  9.411765e-001
    9   73  9.215686e-001
    9   74  9.098039e-001
    9   75  8.941176e-001
    9   76  8.784314e-001
    9   77  8.588235e-001
    9   78  8.117647e-001
    9   79  7.882353e-001
    9   80  7.764706e-001
    9   81  7.686275e-001
    9   82  7.960784e-001
    9   83  8.470588e-001
    9   84  8.784314e-001
    9   85  8.784314e-001
    9   86  8.666667e-001
    9   87  8.392157e-001
    9   88  8.470588e-001
    9   89  8.588235e-001
    9   90  8.666667e-001
    9   91  8.823529e-001
    9   92  8.784314e-001
    9   93  8.823529e-001
    9   94  8.862745e-001
    9   95  8.941176e-001
    9   96  9.058824e-001
    9   97  9.176471e-001
    9   98  9.215686e-001
    9   99  9.686275e-001
    9  100  7.098039e-001
   10    0  8.196078e-001
   10    1  8.039216e-001
   10    2  8.039216e-001
   10    3  8.235294e-001
   10    4  8.627451e-001
   10    5  9.058824e-001
   10    6  9.058824e-001
   10    7  8.705882e-001
   10    8  8.078431e-001
   10    9  7.725490e-001
   10   10  7.686275e-001
   10   11  7.607843e-001
   10   12  7.568627e-001
   10   13  7.568627e-001
   10   14  7.411765e-001
   10   15  7.647059e-001
   10   16  8.392157e-001
   10   17  8.666667e-001
   10   18  8.745098e-001
   10   19  8.901961e-001
   10   20  8.862745e-001
   10   21  8.941176e-001
   10   22  8.823529e-001
   10   23  8.980392e-001
   10   24  9.254902e-001
   10   25  9.450980e-001
   10   26  9.647059e-001
   10   27  9.647059e-001
   10   28  9.490196e-001
   10   29  9.254902e-001
   10   30  8.784314e-001
   10   31  8.274510e-001
   10   32  7.921569e-001
   10   33  7.607843e-001
   10   34  7.568627e-001
   10   35  7.843137e-001
   10   36  8.196078e-001
   10   37  8.352941e-001
   10   38  8.235294e-001
   10   39  7.960784e-001
   10   40  7.843137e-001
   10   41  7.882353e-001
   10   42  8.156863e-001
   10   43  8.392157e-001
   10   44  8.666667e-001
   10   45  9.019608e-001
   10   46  9.176471e-001
   10   47  9.372549e-001
   10   48  9.450980e-001
   10   49  9.294118e-001
   10   50  9.098039e-001
   10   51  9.019608e-001
   10   52  9.137255e-001
   10   53  9.490196e-001
   10   54  9.647059e-001
   10   55  9.607843e-001
   10   56  9.529412e-001
   10   57  9.450980e-001
   10   58  9.411765e-001
   10   59  9.490196e-001
   10   60  9.568627e-001
   10   61  9.490196e-001
   10   62  9.529412e-001
   10   63  9.529412e-001
